tract_id,entropy,p1,p2,p3
861,0.625418096350898,0.7692307829856873,0.1538461595773697,0.07692307978868484
862,0.8527925154297527,0.3333333432674408,0.1111111119389534,0.5555555820465088
863,0.17844933788808445,0.9655172228813171,0.03448275849223137,0.009999999776482582
864,0.6861209990200637,0.4507042169570923,0.5352112650871277,0.014084506779909134
865,0.6728478018414272,0.5,0.5,0.009999999776482582
866,0.8143508250687842,0.5797101259231567,0.3333333432674408,0.08695652335882187
867,0.9803225671210928,0.42307692766189575,0.2538461685180664,0.32307693362236023
868,0.9658643977188909,0.21568627655506134,0.3529411852359772,0.4313725531101227
869,0.9445985924610005,0.1794871836900711,0.43589743971824646,0.38461539149284363
870,0.595905934783837,0.7777777910232544,0.0555555559694767,0.1666666716337204
871,0.08383612698161111,1.0,0.009999999776482582,0.009999999776482582
872,0.15745523909489884,0.9722222089767456,0.02777777798473835,0.009999999776482582
873,0.9101046755021432,0.5,0.3484848439693451,0.1515151560306549
874,0.9640128006287466,0.37735849618911743,0.2075471729040146,0.4150943458080292
875,0.835962556927904,0.6086956262588501,0.1304347813129425,0.260869562625885
876,0.7799303144291654,0.6499999761581421,0.25,0.10000000149011612
877,0.8679574037635128,0.41791045665740967,0.4776119291782379,0.10447761416435242
878,0.8734790455431438,0.5833333134651184,0.25,0.1666666716337204
879,0.6339291060416241,0.6451612710952759,0.35483869910240173,0.009999999776482582
880,0.8387364802760314,0.6000000238418579,0.125,0.2750000059604645
881,0.52407739024602,0.7777777910232544,0.2222222238779068,0.009999999776482582
882,0.49740610206251884,0.837837815284729,0.10810811072587967,0.054054055362939835
883,0.9720794660810679,0.40740740299224854,0.2222222238779068,0.37037035822868347
884,0.922906889489865,0.529411792755127,0.20588235557079315,0.2647058963775635
885,0.691369794990789,0.7272727489471436,0.09090909361839294,0.1818181872367859
886,0.8092876336938567,0.3076923191547394,0.6000000238418579,0.0923076942563057
887,0.30274594430049984,0.9125000238418579,0.07500000298023224,0.012500000186264515
888,0.7857261583798462,0.6666666865348816,0.19354838132858276,0.13978494703769684
889,0.9077151994401376,0.5496688485145569,0.251655638217926,0.1986754983663559
890,0.6766262469934698,0.05454545468091965,0.23636363446712494,0.7090908885002136
891,0.8175817339504995,0.0714285746216774,0.4285714328289032,0.5
892,0.852960053281791,0.09433962404727936,0.49056604504585266,0.4150943458080292
893,0.8723703551265622,0.1780821979045868,0.5890411138534546,0.232876718044281
894,0.8729891817911832,0.17391304671764374,0.5869565010070801,0.239130437374115
895,0.5586214383497229,0.7450980544090271,0.2549019753932953,0.009999999776482582
896,0.8353849094179777,0.23711340129375458,0.14432989060878754,0.6185566782951355
897,0.9981459252572751,0.3181818127632141,0.3181818127632141,0.3636363744735718
898,0.7522196188074028,0.529411792755127,0.03921568766236305,0.4313725531101227
899,0.9288791147737636,0.20370370149612427,0.2777777910232544,0.5185185074806213
900,0.7248341245733081,0.7142857313156128,0.1428571492433548,0.1428571492433548
901,0.7280002535990214,0.2295081913471222,0.08196721225976944,0.688524603843689
902,0.797919637037299,0.30434781312942505,0.08695652335882187,0.6086956262588501
903,0.9498213462785592,0.20769231021404266,0.3153846263885498,0.4769230782985687
